note_a_l_ecrit;longitude;nbre_eleves_segpa;nbre_eleves_ulis;effectifs_filles;effectifs_garcons
7.7;-60.911570334238235;0;0;153;146
8.2;-60.911570334238235;0;0;153;146
8.4;4.883449409156436;50;14;400;379
8.3;4.883449409156436;50;14;400;379
9.4;4.863710113971357;0;21;227;223
11.8;4.863710113971357;0;21;227;223
9.7;4.903774500573558;0;0;187;211
8.4;4.903774500573558;0;0;187;211
8.2;6.791109347380717;63;10;357;317
8.9;6.791109347380717;63;10;357;317
9.9;6.85640985034442;0;0;130;155
10.3;6.85640985034442;0;0;130;155
10.2;6.8414497402084065;64;12;373;396
9.1;6.8414497402084065;64;12;373;396
10.4;6.829900270160826;0;11;267;269
10.0;6.829900270160826;0;11;267;269
12.1;5.565940517303166;128;13;315;336
10.8;5.565940517303166;128;13;315;336
8.9;6.852888130471386;0;12;169;162
8.9;6.852888130471386;0;12;169;162
9.1;4.994749445961136;0;0;238;233
9.9;4.994749445961136;0;0;238;233
11.2;4.992659804035509;0;11;157;156
9.5;4.992659804035509;0;11;157;156
10.2;3.9939023566856253;0;14;232;227
11.9;3.9939023566856253;0;14;232;227
9.3;4.367085320753354;64;13;206;211
9.1;4.367085320753354;64;13;206;211
12.1;-2.512399343445446;0;0;99;92
12.0;-2.512399343445446;0;0;99;92
11.0;-4.482439921418086;0;11;245;212
11.1;-4.482439921418086;0;11;245;212
7.7;-4.510359525683293;61;0;202;196
8.6;-4.510359525683293;61;0;202;196
10.9;-4.131380514595773;50;13;266;237
8.6;-4.131380514595773;50;13;266;237
10.6;-2.0767905322319713;64;0;255;251
9.8;-2.0767905322319713;64;0;255;251
7.4;-1.7146799912092223;61;11;257;290
8.0;-1.7146799912092223;61;11;257;290
11.0;-3.2723696557078217;64;0;265;273
11.0;-3.2723696557078217;64;0;265;273
9.6;-3.380510425523694;50;12;188;176
8.2;-3.380510425523694;50;12;188;176
10.0;2.4095705883585388;56;12;294;319
8.6;2.4095705883585388;56;12;294;319
9.1;1.461900355972772;0;0;231;300
9.6;1.461900355972772;0;0;231;300
10.4;1.361220145084155;0;13;267;296
8.9;1.361220145084155;0;13;267;296
9.4;0.9843105117978693;0;10;183;213
10.4;0.9843105117978693;0;10;183;213
8.8;0.6683205684355672;59;0;170;147
7.9;0.6683205684355672;59;0;170;147
9.8;0.694659408190326;0;0;200;202
10.2;0.694659408190326;0;0;200;202
9.9;2.620949432387217;0;0;140;178
9.1;2.620949432387217;0;0;140;178
9.2;1.9304602299494644;0;13;252;297
9.6;1.9304602299494644;0;13;252;297
8.5;1.9364195008661584;46;18;295;276
9.1;1.9364195008661584;46;18;295;276
8.7;8.74855512535525;83;24;344;389
10.2;8.74855512535525;83;24;344;389
10.3;8.734748563149186;0;0;333;325
11.7;8.734748563149186;0;0;333;325
9.2;9.266768799318287;53;14;287;262
10.9;9.266768799318287;53;14;287;262
8.7;5.982076411201353;0;0;193;186
7.1;5.982076411201353;0;0;193;186
9.6;6.134789846987164;0;8;137;132
10.2;6.134789846987164;0;8;137;132
10.8;5.797190256340773;0;0;226;218
9.4;5.797190256340773;0;0;226;218
9.2;5.790349509391255;0;0;106;112
8.3;5.790349509391255;0;0;106;112
9.1;6.1632895291222685;0;0;114;133
9.5;6.1632895291222685;0;0;114;133
9.0;5.170279675783989;49;8;164;142
10.9;5.170279675783989;49;8;164;142
9.4;5.198129436091281;43;12;205;227
9.6;5.198129436091281;43;12;205;227
9.7;6.744419552148368;0;0;169;201
10.0;6.744419552148368;0;0;169;201
10.3;6.92538983224191;0;0;200;228
11.0;6.92538983224191;0;0;200;228
10.2;6.916059753764804;0;22;233;246
9.7;6.916059753764804;0;22;233;246
8.0;6.168929956923903;0;0;181;204
8.4;6.168929956923903;0;0;181;204
11.5;6.4474840625208225;56;23;307;396
10.0;6.4474840625208225;56;23;307;396
11.1;6.4221073701919025;0;11;348;365
9.7;6.4221073701919025;0;11;348;365
9.3;6.967291505973852;0;12;240;227
10.9;6.967291505973852;0;12;240;227
9.9;4.646499964728705;0;21;169;180
10.2;4.646499964728705;0;21;169;180
7.9;4.061640289744202;0;10;266;280
9.1;4.061640289744202;0;10;266;280
9.8;5.156077998088681;0;11;162;147
9.6;5.156077998088681;0;11;162;147
8.1;4.010009804803653;61;11;193;223
9.4;4.010009804803653;61;11;193;223
8.6;4.011479492261338;0;15;258;351
9.5;4.011479492261338;0;15;258;351
8.8;4.017080105216009;0;12;199;179
7.7;4.017080105216009;0;12;199;179
10.3;4.580520187764212;60;12;203;250
9.4;4.580520187764212;60;12;203;250
8.0;7.762684469825641;59;14;187;226
7.5;7.762684469825641;59;14;187;226
6.5;7.294382433052226;75;18;292;325
7.9;7.294382433052226;75;18;292;325
7.9;7.363610295368171;90;10;342;340
10.2;7.363610295368171;90;10;342;340
8.3;7.339561547508013;0;0;226;264
9.0;7.339561547508013;0;0;226;264
7.4;-61.34962529479824;64;24;360;399
8.8;-61.34962529479824;64;24;360;399
9.6;-61.786959071519654;0;0;161;146
10.1;-61.786959071519654;0;0;161;146
7.1;-52.3231698305509;0;26;432;417
6.7;-52.3231698305509;0;26;432;417
7.1;-52.331632743233115;0;16;321;345
7.5;-52.331632743233115;0;16;321;345
5.4;-54.03107162805494;0;19;454;396
4.8;-54.03107162805494;0;19;454;396
4.0;-54.013070596902814;101;19;542;607
4.4;-54.013070596902814;101;19;542;607
4.1;-54.03559174238066;0;34;420;455
4.6;-54.03559174238066;0;34;420;455
9.7;3.318949412019479;68;7;150;200
5.9;3.318949412019479;68;7;150;200
8.3;3.274040462303788;0;0;147;160
8.6;3.274040462303788;0;0;147;160
7.2;3.3058406117100048;70;0;227;261
7.2;3.3058406117100048;70;0;227;261
10.4;3.313900745733597;0;19;181;181
10.2;3.313900745733597;0;19;181;181
11.1;3.5989303801184933;0;0;123;108
10.0;3.5989303801184933;0;0;123;108
9.3;2.82072362679193;0;0;232;228
10.1;2.82072362679193;0;0;232;228
10.3;2.464039752942275;0;13;295;271
11.3;2.464039752942275;0;13;295;271
10.7;2.4906196170819275;0;8;243;245
9.2;2.4906196170819275;0;8;243;245
10.0;2.327364180638817;53;26;172;164
8.1;2.327364180638817;53;26;172;164
9.9;2.336124610540266;47;13;266;302
8.9;2.336124610540266;47;13;266;302
9.5;3.0783694797933276;56;14;298;270
10.3;3.0783694797933276;56;14;298;270
9.9;2.3948734187132454;0;14;63;80
7.8;3.0743805506245514;49;0;286;301
7.9;3.0743805506245514;49;0;286;301
8.5;3.5518399557173934;0;0;127;129
8.3;3.5518399557173934;0;0;127;129
10.1;3.901209519412997;36;13;221;207
7.4;3.901209519412997;36;13;221;207
8.6;4.090250109750892;0;0;161;199
8.2;4.090250109750892;0;0;161;199
10.3;3.645209621701694;37;0;440;533
11.9;3.645209621701694;37;0;440;533
9.4;3.070130015934418;53;0;179;189
9.8;3.070130015934418;53;0;179;189
7.7;3.006710500148804;0;0;158;168
8.8;3.006710500148804;0;0;158;168
8.6;3.971009768841562;0;11;133;169
9.5;3.971009768841562;0;11;133;169
9.1;3.9636805802247674;33;11;149;158
7.8;3.9636805802247674;33;11;149;158
8.0;3.582870374959155;0;0;216;250
9.0;3.582870374959155;0;0;216;250
9.9;3.2054296343625706;0;14;255;235
9.3;3.2054296343625706;0;14;255;235
